"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jake Peavy","Padres","19","6","0","34","34","223.1","9.67","2.74","0.52",".273","78.3 %","44.0 %","5.8 %","2.54","2.84","3.34","6.7","1051"
"CC Sabathia","Indians","19","7","0","34","34","241.0","7.80","1.38","0.75",".311","74.1 %","45.0 %","7.8 %","3.21","3.14","3.40","6.4","404"
"Brandon Webb","Diamondbacks","18","10","0","34","34","236.1","7.39","2.74","0.46",".285","72.4 %","61.8 %","8.8 %","3.01","3.24","3.30","6.2","1692"
"Josh Beckett","Red Sox","20","7","0","30","30","200.2","8.70","1.79","0.76",".304","75.2 %","47.3 %","8.0 %","3.27","3.08","3.31","5.7","510"
"John Smoltz","Braves","14","8","0","32","32","205.2","8.62","2.06","0.79",".303","76.2 %","44.7 %","8.7 %","3.11","3.21","3.33","5.5","115"
"Aaron Harang","Reds","16","6","0","34","34","231.2","8.47","2.02","1.09",".288","74.0 %","40.3 %","10.2 %","3.73","3.71","3.62","5.4","1451"
"Joe Blanton","Athletics","14","10","0","34","34","230.0","5.48","1.57","0.63",".299","68.0 %","46.9 %","6.5 %","3.95","3.50","3.93","5.3","4849"
"Roy Halladay","Blue Jays","16","7","0","31","31","225.1","5.55","1.92","0.60",".301","69.5 %","53.1 %","7.1 %","3.71","3.55","3.85","5.1","1303"
"John Lackey","Angels","19","9","0","33","33","224.0","7.19","2.09","0.72",".301","76.0 %","44.7 %","7.3 %","3.01","3.54","3.87","5.0","1507"
"Erik Bedard","Orioles","13","5","0","28","28","182.0","10.93","2.82","0.94",".283","77.7 %","47.9 %","12.3 %","3.16","3.19","2.90","5.0","126"
"Roy Oswalt","Astros","14","7","0","33","32","212.0","6.54","2.55","0.59",".307","77.5 %","53.0 %","6.7 %","3.18","3.59","3.97","4.9","571"
"Tim Hudson","Braves","16","10","0","34","34","224.1","5.30","2.13","0.40",".292","72.8 %","62.0 %","6.5 %","3.33","3.46","3.74","4.9","921"
"Scott Kazmir","Devil Rays","13","9","0","34","34","206.2","10.41","3.88","0.78",".333","75.3 %","43.1 %","8.1 %","3.48","3.45","3.67","4.8","4897"
"Kelvim Escobar","Angels","18","7","0","30","30","195.2","7.36","3.04","0.51",".299","73.0 %","44.0 %","5.0 %","3.40","3.39","4.09","4.8","1298"
"Javier Vazquez","White Sox","15","8","0","32","32","216.2","8.85","2.08","1.20",".288","74.5 %","39.8 %","11.0 %","3.74","3.80","3.59","4.8","801"
"Dan Haren","Athletics","15","9","0","34","34","222.2","7.76","2.22","0.97",".287","75.9 %","44.4 %","9.3 %","3.07","3.70","3.74","4.7","1757"
"Brad Penny","Dodgers","16","4","0","33","33","208.0","5.84","3.16","0.39",".295","76.4 %","48.7 %","4.7 %","3.03","3.63","4.23","4.4","535"
"Chris Young","Padres","9","8","0","30","30","173.0","8.69","3.75","0.52",".241","71.6 %","29.1 %","4.1 %","3.12","3.43","4.44","4.3","3196"
"Matt Cain","Giants","7","16","0","32","32","200.0","7.34","3.56","0.63",".278","72.9 %","39.4 %","5.5 %","3.65","3.78","4.47","4.1","4732"
"Andy Pettitte","Yankees","15","9","0","36","34","215.1","5.89","2.88","0.67",".322","70.7 %","47.7 %","7.0 %","4.05","3.87","4.23","4.0","840"
"James Shields","Devil Rays","12","8","0","31","31","215.0","7.70","1.51","1.17",".282","71.8 %","43.4 %","11.1 %","3.85","3.86","3.65","4.0","7059"
"Johan Santana","Twins","15","13","0","33","33","219.0","9.66","2.14","1.36",".271","78.3 %","38.0 %","13.1 %","3.33","3.82","3.30","4.0","755"
"Cole Hamels","Phillies","15","5","0","28","28","183.1","8.69","2.11","1.23",".279","78.7 %","41.9 %","12.8 %","3.39","3.83","3.40","3.9","4972"
"Greg Maddux","Padres","14","11","0","34","34","198.0","4.73","1.14","0.64",".304","68.9 %","51.5 %","7.1 %","4.14","3.58","3.90","3.9","104"
"Ted Lilly","Cubs","15","8","0","34","34","207.0","7.57","2.39","1.22",".261","74.1 %","33.7 %","9.7 %","3.83","4.16","4.16","3.8","833"
"Chien-Ming Wang","Yankees","19","7","0","30","30","199.1","4.70","2.66","0.41",".295","71.8 %","58.4 %","6.0 %","3.70","3.79","4.15","3.7","2074"
"Gil Meche","Royals","9","13","0","34","34","216.0","6.50","2.58","0.92",".296","73.4 %","46.8 %","9.2 %","3.67","4.02","4.09","3.7","1089"
"Jeff Francis","Rockies","17","9","0","34","34","215.1","6.90","2.63","1.04",".316","74.7 %","44.4 %","10.0 %","4.22","4.19","4.13","3.7","4684"
"Adam Wainwright","Cardinals","14","12","0","32","32","202.0","6.06","3.12","0.58",".304","72.6 %","48.2 %","5.8 %","3.70","3.90","4.45","3.7","2233"
"Justin Verlander","Tigers","18","6","0","32","32","201.2","8.17","2.99","0.89",".279","74.9 %","41.1 %","8.5 %","3.66","3.99","4.17","3.7","8700"
"Jon Garland","White Sox","10","13","0","32","32","208.1","4.23","2.46","0.82",".284","65.5 %","39.4 %","7.1 %","4.23","4.36","4.79","3.5","232"
"Felix Hernandez","Mariners","14","7","0","30","30","190.1","7.80","2.51","0.95",".333","74.7 %","60.8 %","15.0 %","3.92","3.75","3.27","3.5","4772"
"Ian Snell","Pirates","9","12","0","32","32","208.0","7.66","2.94","0.95",".308","75.1 %","45.9 %","9.6 %","3.76","4.01","4.02","3.4","2227"
"Bronson Arroyo","Reds","9","15","0","34","34","210.2","6.66","2.69","1.20",".309","74.0 %","35.3 %","9.6 %","4.23","4.57","4.59","3.4","978"
"Dustin McGowan","Blue Jays","12","10","0","27","27","169.2","7.64","3.24","0.74",".273","68.1 %","53.0 %","9.2 %","4.08","3.73","3.79","3.4","8600"
"Mark Buehrle","White Sox","10","9","0","30","30","201.0","5.15","2.01","0.99",".287","75.7 %","43.2 %","8.8 %","3.63","4.26","4.41","3.3","225"
"Roberto Hernandez","Indians","19","8","0","32","32","215.0","5.73","2.55","0.67",".280","77.6 %","64.3 %","11.1 %","3.06","3.94","3.81","3.3","3273"
"John Maine","Mets","15","10","0","32","32","191.0","8.48","3.53","1.08",".275","73.2 %","37.0 %","9.6 %","3.91","4.18","4.18","3.2","4773"
"Derek Lowe","Dodgers","12","14","0","33","32","199.1","6.64","2.66","0.90",".288","68.1 %","65.0 %","17.1 %","3.88","3.97","3.40","3.1","199"
"Rich Hill","Cubs","11","8","0","32","32","195.0","8.45","2.91","1.25",".271","75.3 %","36.0 %","11.7 %","3.92","4.32","4.00","3.1","4806"
"Tom Gorzelanny","Pirates","14","10","0","32","32","201.2","6.02","3.03","0.80",".305","75.8 %","42.1 %","7.0 %","3.88","4.24","4.68","3.1","6244"
"Wandy Rodriguez","Astros","9","13","0","31","31","182.2","7.78","3.05","1.08",".293","66.9 %","41.4 %","10.1 %","4.58","4.18","4.10","3.1","2586"
"Kyle Lohse","- - -","9","12","0","34","32","192.2","5.70","2.66","1.03",".300","68.1 %","36.9 %","8.6 %","4.62","4.53","4.71","3.0","739"
"Daisuke Matsuzaka","Red Sox","15","12","0","32","32","204.2","8.84","3.52","1.10",".299","73.9 %","38.4 %","10.0 %","4.40","4.23","4.17","2.9","7775"
"Jeremy Bonderman","Tigers","11","9","0","28","28","174.1","7.49","2.48","1.19",".319","65.8 %","47.9 %","12.1 %","5.01","4.19","3.84","2.8","1667"
"Carlos Zambrano","Cubs","18","13","0","34","34","216.1","7.36","4.20","0.96",".269","74.9 %","46.8 %","10.2 %","3.95","4.58","4.51","2.8","305"
"Oliver Perez","Mets","15","10","0","29","29","177.0","8.85","4.02","1.12",".271","71.6 %","32.8 %","8.8 %","3.56","4.35","4.50","2.7","1514"
"Jeff Suppan","Brewers","12","12","0","34","34","206.2","4.96","2.96","0.78",".318","70.4 %","45.4 %","7.3 %","4.62","4.42","4.77","2.6","633"
"Carlos Silva","Twins","13","14","0","33","33","202.0","3.97","1.60","0.89",".299","70.5 %","47.5 %","8.4 %","4.19","4.24","4.44","2.6","973"
"Matt Morris","- - -","10","11","0","32","32","198.2","4.62","2.76","0.82",".320","65.7 %","48.5 %","8.3 %","4.89","4.45","4.65","2.5","1172"
"Matt Belisle","Reds","8","9","0","30","30","177.2","6.33","2.18","1.32",".326","66.9 %","41.8 %","12.3 %","5.32","4.58","4.17","2.4","1837"
"Jose Contreras","White Sox","10","17","0","32","30","189.0","5.38","2.95","1.00",".326","62.6 %","44.9 %","9.0 %","5.57","4.71","4.82","2.4","1660"
"Jeremy Guthrie","Orioles","7","5","0","32","26","175.1","6.31","2.41","1.18",".270","75.1 %","42.5 %","11.2 %","3.70","4.41","4.18","2.3","2072"
"Brian Bannister","Royals","12","9","0","27","27","165.0","4.20","2.40","0.82",".261","70.3 %","40.8 %","6.8 %","3.87","4.40","4.89","2.3","5718"
"A.J. Burnett","Blue Jays","10","8","0","25","25","165.2","9.56","3.59","1.25",".261","76.4 %","54.8 %","17.7 %","3.75","4.33","3.51","2.3","512"
"Doug Davis","Diamondbacks","13","12","0","33","33","192.2","6.73","4.44","0.98",".318","74.9 %","47.0 %","10.3 %","4.25","4.72","4.62","2.2","1244"
"Dave Bush","Brewers","12","10","0","33","31","186.1","6.47","2.13","1.30",".320","69.2 %","43.4 %","11.8 %","5.12","4.57","4.22","2.2","4635"
"Miguel Batista","Mariners","16","11","0","33","32","193.0","6.20","3.96","0.84",".310","72.6 %","44.1 %","7.3 %","4.29","4.52","4.90","2.2","46"
"Kevin Millwood","Rangers","10","14","0","31","31","172.2","6.41","3.49","0.99",".340","67.7 %","46.4 %","10.1 %","5.16","4.55","4.49","2.1","106"
"Aaron Cook","Rockies","8","7","0","25","25","166.0","3.31","2.39","0.81",".285","68.1 %","57.9 %","11.0 %","4.12","4.58","4.44","2.1","1571"
"Jarrod Washburn","Mariners","10","15","0","32","32","193.2","5.30","3.11","1.07",".284","71.4 %","36.5 %","8.0 %","4.32","4.77","5.09","2.0","40"
"Jamie Moyer","Phillies","14","12","0","33","33","199.1","6.01","2.98","1.35",".303","69.7 %","39.4 %","11.8 %","5.01","4.93","4.58","2.0","1091"
